name,lftm_issues,lftm_prs,num_repos
1C Enterprise,5290,4935,264
ABAP,85136,109089,447
ActionScript,148750,96795,8739
Ada,247,480,2154
AGS Script,320,417,670
ApacheConf,23694,40560,68849
Apex,206928,210550,777
API Blueprint,6414,6396,812
Arduino,50895,56055,20551
ASP,9942,12576,33386
Assembly,280599,298749,47560
AutoHotkey,28084,12896,1450
AutoIt,1239,1920,655
Batchfile,128664,101780,97450
BitBake,93704,201528,1029
C,42128352,44180436,292000
C#,59130078,50816884,133013
C++,83463172,92274560,278066
Ceylon,2751,1332,168
Clojure,3362040,4606555,25892
CMake,371360,514817,55874
CodeQL,11304,47411,20
CoffeeScript,7929520,5697280,68833
ColdFusion,377020,203151,2061
Common Lisp,399874,452124,5679
Common Workflow Language,1296,1266,68
Coq,24498,38808,1033
Crystal,166325,241615,1196
CSS,16635720,22424786,813443
Cucumber,133,262,7460
Cuda,67606,60885,4346
D,445228,282608,7186
Dart,8271585,5103144,5629
DM,1773036,5410692,394
Dockerfile,984450,1344660,23782
Eagle,19341,14377,2092
Eiffel,5855,1911,709
Elixir,2668497,4525209,6814
Elm,315784,343500,2855
Emacs Lisp,3581160,2798960,16691
Erlang,2245529,3267003,14949
F#,1089759,1035720,5884
F*,6852,4368,29
Fortran,569065,694552,2750
Fortran,569065,694552,3756
FreeMarker,58100,50112,3553
Game Maker Language,270,297,433
GAP,213,114,4054
GDScript,10780,9300,659
Gherkin,142390,219600,4707
GLSL,97635,100590,13779
Go,67459678,98477982,91119
Groff,714,859,25831
Groovy,3756640,5234775,27228
Hack,719,565,3052
Haskell,4443170,3831778,29898
Haxe,514624,415036,3306
HCL,291424,747375,2877
HTML,29639106,48391480,779549
Java,152051010,160463616,369282
JavaScript,279509718,323026578,1100421
Jinja,468676,274160,345
Jsonnet,215184,222795,163
Julia,1263528,1262556,5858
Jupyter Notebook,4331849,7584630,16898
KiCad,698,702,1104
Kotlin,8349480,9075274,7416
LabVIEW,2114,1645,355
LiveScript,7426,4620,2274
LLVM,981,1241,1338
Logos,1474,1136,4527
Lua,6499600,4735302,34089
Makefile,1183030,2796840,249563
Mako,452,472,4332
Mathematica,5940,11766,2649
MATLAB,1334115,1457205,2624
MATLAB,1334115,1457205,17708
Meson,324,435,957
Modelica,106,107,543
Nginx,7236,4410,8576
Nim,115008,109549,467
Nix,1860144,8286003,2446
NSIS,1316,1036,8072
Nunjucks,105660,45402,42
Objective-C,16621072,11736373,168007
Objective-C++,95194,80795,17832
Objective-J,45056,31484,339
OCaml,1921068,2273796,5575
ooc,7956,16480,126
OpenEdge ABL,4128,3504,2563
OpenSCAD,326,225,1779
Pascal,519715,215047,10131
Pawn,3176,3176,287
Pawn,3176,3176,510
Perl,4105280,4401891,101450
Perl 6,137788,96714,2159
PHP,96345155,106413734,339901
PLpgSQL,566979,500096,9350
PLSQL,162810,177353,6950
PostScript,58032,42525,4133
PowerShell,2077380,2492460,32926
Processing,10180,12446,6775
Prolog,3369,4914,11178
Protocol Buffer,11412,14980,11749
Pug,105,138,143
Puppet,483873,1372784,14958
PureScript,192402,251979,826
Python,180276683,253883739,548870
QML,402723,244926,5233
R,2707896,1914608,29380
Racket,46965,49725,3767
Raku,109564,80560,363
Rascal,11058,7648,112
Reason,306,242,17
Rich Text Format,20966,22282,890
RobotFramework,45375,45738,509
Roff,263198,290550,11565
Ruby,55582961,121277814,374802
Rust,5786095,9124920,15424
SaltStack,17664,28998,1684
SAS,331,157,1344
Scala,11485782,23737196,34501
Scheme,166208,246600,7177
SCSS,289050,1155300,2103
Shell,22385664,30818060,638068
Smalltalk,626500,392258,5588
Smarty,72228,210736,17276
SourcePawn,176589,119132,9002
SQF,135565,90345,610
SQL,100,123,640
SQLPL,4235,4404,5352
Standard ML,103088,106702,2392
Starlark,222985,1360210,897
Swift,11347942,13062315,42372
SWIG,13624,14520,345
SystemVerilog,66432,178580,1039
Tcl,18684,27225,8067
TeX,1064064,980172,31420
Thrift,822,4888,3515
TSQL,520236,714272,4395
Twig,246,338,198
TypeScript,71405313,81755312,46332
Uno,2860,3966,37
UnrealScript,5118,3078,9491
Vala,900702,390420,2030
Verilog,33046,58461,2956
VHDL,3458,3564,2091
Vim script,1956084,1702116,10971
VimL,122202,84330,19143
Visual Basic,295260,620204,10722
Visual Basic .NET,103598,269220,238
Vue,2698124,1883385,8575
Web Ontology Language,4962,2765,647
WebAssembly,2784,6794,151
XQuery,600,539,1175
XSLT,503120,541164,32151
Xtend,17330,20383,834
YAML,63104,268730,7
